id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
PZUCBm0,gpt_neo_125m,1,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,0
PZUCBm0,gpt_neo_125m,2,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,14
PZUCBm0,gpt_neo_125m,3,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,28
PZUCBm0,gpt_neo_125m,4,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,44
PZUCBm0,gpt_neo_125m,5,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,63
PZUCBm0,gpt_neo_125m,6,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,82
PZUCBm0,gpt_neo_125m,7,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,99
PZUCBm0,gpt_neo_125m,8,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,117
PZUCBm0,gpt_neo_125m,9,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,135
PZUCBm0,gpt_neo_125m,10,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,152
PZUCBm0,gpt_neo_125m,11,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,170
PZUCBm0,gpt_neo_125m,12,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,189
PZUCBm0,gpt_neo_125m,13,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,207
PZUCBm0,gpt_neo_125m,14,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,225
PZUCBm0,gpt_neo_125m,15,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,242
PZUCBm0,gpt_neo_125m,16,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,260
PZUCBm0,gpt_neo_125m,17,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,277
PZUCBm0,gpt_neo_125m,18,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,296
PZUCBm0,gpt_neo_125m,19,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,314
PZUCBm0,gpt_neo_125m,20,0.1,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,331
PZUCBm0,gpt_neo_125m,1,0.2,20,efficiently extract structure from complex unstructured data,Extract structure from complex unstructured data,349
PZUCBm0,gpt_neo_125m,2,0.2,20,efficiently extract structure from complex unstructured data,efficiently extract structure from complex unstructured data,366
PZUCBm0,gpt_neo_125m,3,0.2,20,efficiently extract structure from complex unstructured data,Improve the feel of a complicated motion or force,384
